dish_id,food_id,grams,note
VN-PHO-GA,5,180,Bánh phở tươi
VN-PHO-GA,2095,80,Thịt gà ta
VN-PHO-GA,2041,10,Hành củ tươi
VN-PHO-GA,152,5,Gừng
VN-PHO-GA,137,10,Nước mắm
VN-BUN-CHA,4,200,Bún tươi
VN-BUN-CHA,19,100,Thịt lợn nạc
VN-BUN-CHA,137,30,Nước mắm
VN-BUN-CHA,151,5,Tỏi
VN-BUN-CHA,86,20,Cà rốt
VN-CANH-CHUA-CA,40,150,Cá basa
VN-CANH-CHUA-CA,85,50,Cà chua
VN-CANH-CHUA-CA,62,30,Giá đỗ
VN-CANH-CHUA-CA,137,10,Nước mắm
VN-RAU-MUONG-XAO-TOI,65,200,Rau muống
VN-RAU-MUONG-XAO-TOI,151,5,Tỏi
VN-RAU-MUONG-XAO-TOI,129,10,Dầu ăn thực vật
VN-DAU-PHU-SOT-CA,55,200,Đậu phụ
VN-DAU-PHU-SOT-CA,85,100,Cà chua
VN-DAU-PHU-SOT-CA,2041,10,Hành củ tươi
VN-DAU-PHU-SOT-CA,129,10,Dầu ăn thực vật
VN-CA-KHO-TO,39,200,Cá chép
VN-CA-KHO-TO,137,20,Nước mắm
VN-CA-KHO-TO,152,5,Gừng
VN-GA-KHO-GUNG,2095,200,Thịt gà ta
VN-GA-KHO-GUNG,152,15,Gừng
VN-GA-KHO-GUNG,137,20,Nước mắm
VN-CANH-CAI-TOM,68,150,Rau cải ngọt
VN-CANH-CAI-TOM,47,50,Tôm biển
VN-CANH-CAI-TOM,137,10,Nước mắm
VN-SUON-XAO-CHUA-NGOT,2121,200,Sườn lợn
VN-SUON-XAO-CHUA-NGOT,85,50,Cà chua
VN-SUON-XAO-CHUA-NGOT,102,30,Hành tây
VN-TRUNG-CHIEN,33,120,Trứng gà
VN-TRUNG-CHIEN,2041,10,Hành củ tươi
VN-TRUNG-CHIEN,129,10,Dầu ăn thực vật
VN-CANH-SU-HAO,88,150,Su hào
VN-CANH-SU-HAO,86,50,Cà rốt
VN-CANH-SU-HAO,19,50,Thịt lợn nạc
VN-NAM-XAO-THIT-BO,101,50,Nấm hương
VN-NAM-XAO-THIT-BO,21,100,Thịt bò thăn
VN-NAM-XAO-THIT-BO,151,5,Tỏi
VN-NAM-XAO-THIT-BO,129,10,Dầu ăn thực vật
