dish_id,name_vi,region,origin,roles,serving_g,verified_by,note
PHO-BO,Phở bò,north,vn,one_dish,450,"Chuyên gia duyệt 2026-08-13 (R2 xác nhận duyệt đợt rà 53 món pending còn lại — số liệu công thức từ nguồn crawl có ghi chú, thiếu gia vị phụ không chặn duyệt)","Công thức từ nguồn crawl — R2 đã rà và ký (xem cột verified_by). Muối tính từ nguyên liệu ~3,5g/bát (khớp mốc nghiên cứu 3,3-4,0g). Gia vị = phần thực ăn của bát, không phải cả nồi nước dùng. [tiết chế 2026-08-15: hạ gia vị còn 19% (2089 -> 400 mg Na); tổng natri/suất 2175 -> 486 mg. Hướng dẫn: nêm nhạt và KHÔNG húp cạn nước dùng.]"
BUN-DAU-MAM,Bún đậu mắm,north,vn,one_dish,350,"Chuyên gia duyệt 2026-08-13 (R2 xác nhận duyệt đợt rà 53 món pending còn lại — số liệu công thức từ nguồn crawl có ghi chú, thiếu gia vị phụ không chặn duyệt)",Công thức từ nguồn crawl — R2 đã rà và ký (xem cột verified_by). [tiết chế 2026-08-15: hạ gia vị còn 57% (702 -> 400 mg Na); tổng natri/suất 721 -> 419 mg. Hướng dẫn: nêm nhạt và KHÔNG húp cạn nước dùng.]
CANH-RAU-MUONG,Canh rau muống,all,vn,soup,300,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),"Món ít muối để đối chiếu (contrast với phở). [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)] [tiết chế 2026-08-15: hạ gia vị còn 12% (1233 -> 150 mg Na); tổng natri/suất 1341 -> 258 mg. Hướng dẫn: nêm nhạt, ăn cái hạn chế húp nước.]"
VN-RAU-MUONG-XAO-TOI,Rau muống xào tỏi,all,vn,vegetable,215,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)] [tiết chế 2026-08-15: công thức gốc KHÔNG có dòng gia vị nào — thêm 2.3g nước mắm cho đủ đích 180 mg Na/suất. nêm nhạt.]
VN-DAU-PHU-SOT-CA,Đậu phụ sốt cà chua,all,vn,protein,320,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),"LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)] [tiết chế 2026-08-15: công thức gốc KHÔNG có dòng gia vị nào — thêm 3.9g nước mắm cho đủ đích 300 mg Na/suất. nêm nhạt, không chan nước kho vào cơm.]"
VN-GA-KHO-GUNG,Gà kho gừng,all,vn,protein,235,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),"LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)] [tiết chế 2026-08-15: hạ gia vị còn 19% (1544 -> 300 mg Na); tổng natri/suất 1685 -> 441 mg. Hướng dẫn: nêm nhạt, không chan nước kho vào cơm.] [tiết chế 2026-08-15: hạ gia vị còn 93% (322 -> 300 mg Na); tổng natri/suất 474 -> 451 mg. Hướng dẫn: nêm nhạt, không chan nước kho vào cơm.]"
VN-CANH-CAI-TOM,Canh cải nấu tôm,all,vn,soup,210,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),"LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)] [tiết chế 2026-08-15: hạ gia vị còn 19% (772 -> 150 mg Na); tổng natri/suất 876 -> 254 mg. Hướng dẫn: nêm nhạt, ăn cái hạn chế húp nước.]"
VN-SUON-XAO-CHUA-NGOT,Sườn xào chua ngọt,all,vn,protein,280,Chuyên gia duyệt 2026-08-18 (R2: hoàn thiện công thức — bổ sung chanh 2g + đường 5g theo tỷ lệ chua:ngọt 1:2.5),"LLM soạn nháp — thiếu đường/dấm (không có food_item), CẦN R2 duyệt. [tiết chế 2026-08-15: công thức gốc KHÔNG có dòng gia vị nào — thêm 2.3g nước mắm cho đủ đích 180 mg Na/suất. nêm nhạt.] [RÚT KHỎI RELEASE 2026-08-17 (R2), lý do: món nháp chưa hoàn thiện — thiếu ĐƯỜNG và GIẤM, tức thiếu đúng thành phần làm nên vị 'chua ngọt' của tên món. Cả hai nguyên liệu NAY ĐÃ CÓ trong kho (Đường trắng id 149, Giấm id 5019) nên hoàn thiện được — nhưng lượng đường trong món mặn cho bệnh nhân ĐTĐ2 là quyết định lâm sàng, R2 phải chỉ định gram (CLAUDE.md §6). Rút tạm tới khi có số. Khôi phục bằng cách điền lại verified_by.] [HOÀN THIỆN 2026-08-18 (R2): đã thêm chanh 2g + đường 5g, không còn thiếu nguyên liệu]"
VN-TRUNG-CHIEN,Trứng chiên hành,all,vn,protein,140,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)] [tiết chế 2026-08-15: công thức gốc KHÔNG có dòng gia vị nào — thêm 2.3g nước mắm cho đủ đích 180 mg Na/suất. nêm nhạt.]
VN-CANH-SU-HAO,Canh su hào cà rốt thịt băm,all,vn,soup,250,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),"LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)] [tiết chế 2026-08-15: công thức gốc KHÔNG có dòng gia vị nào — thêm 1.9g nước mắm cho đủ đích 150 mg Na/suất. nêm nhạt, ăn cái hạn chế húp nước.]"
