rule_id,condition_code,stages,nutrient,bound,value,unit,basis,severity,guideline_ref,guideline_grade,verify_status,evidence_level,risk_level,overridden_by,disabled_by_flag,requires_flag
BASE-NA-01,BASE,,na_mg,max,2000,mg,absolute,soft,WHO 2012 Guideline: Sodium intake for adults and children,strong,verified,secondary,P2,,,
BASE-FIB-01,BASE,,fiber_g,min,20,g,absolute,soft,"Bộ Y tế, QĐ 5481/QĐ-BYT ngày 30/12/2020 'Hướng dẫn chẩn đoán và điều trị đái tháo đường típ 2', phần Dinh dưỡng — chất xơ 'Nhu cầu: 20 – 30g/ngày'; đối chiếu ADA Standards of Care in Diabetes 2026 Rec 5.24 (grade E) — 'at least 14 g fiber per 1,000 kcal'. Sửa 2026-08-15 (R2 chốt: gộp rule BASE với QĐ 5481). Vì sao bỏ mốc theo mật độ 14 g/1000 kcal: quy đổi ở mức năng lượng người Việt cho ra ~36,6 g/ngày, VƯỢT TRẦN cả dải 20–30 g/ngày của phác đồ trong nước, và vì rule BASE áp cho MỌI hồ sơ nên nó chi phối sàn chất xơ thực tế — đổi riêng T2DM-FIB-01 sẽ không có tác dụng. Lấy sàn 20 g/ngày = cận dưới dải QĐ 5481; khuyến nghị ADA giữ lại làm đối chiếu, không dùng làm ngưỡng chặn",BYT-5481,verified,primary_verified,P2,,,
T2DM-CARB-01,T2DM,,carb_g,max,60,%E,pct_energy,soft,"Bộ Y tế, Quyết định 5481/QĐ-BYT ngày 30/12/2020 — 'Hướng dẫn chẩn đoán và điều trị đái tháo đường típ 2', Phần 4 Điều trị > Tư vấn và hỗ trợ thay đổi lối sống > Dinh dưỡng. Nguyên văn: 'Lượng Glucid ăn vào nên chiếm 50 – 60% tổng số năng lượng.' Sửa 2026-08-15 (R2): trần cũ 65%E vượt phác đồ quốc gia. Đối chiếu chéo: 4 thực đơn ĐTĐ do Viện Dinh dưỡng công bố (Sức khỏe & Đời sống 28/01/2022) nằm ở 50–57%E, khớp phác đồ. ADA/EASD 2019 Consensus tuyên bố KHÔNG có tỷ lệ %E lý tưởng nên không mâu thuẫn.",BYT-5481,verified,primary_verified,P2,,,
T2DM-CARB-02,T2DM,,carb_g,min,50,%E,pct_energy,soft,"Bộ Y tế, Quyết định 5481/QĐ-BYT ngày 30/12/2020 — 'Hướng dẫn chẩn đoán và điều trị đái tháo đường típ 2', Phần 4 Điều trị > Tư vấn và hỗ trợ thay đổi lối sống > Dinh dưỡng. Nguyên văn: 'Lượng Glucid ăn vào nên chiếm 50 – 60% tổng số năng lượng.' Sửa 2026-08-15 (R2): sàn cũ 60%E CHẶT HƠN phác đồ quốc gia 10 điểm, khiến chính 4 thực đơn ĐTĐ của Viện Dinh dưỡng (50–57%E) bị hệ thống gắn vi phạm 'carb_g under'. ADA/EASD 2019 không đặt %E nên không mâu thuẫn.",BYT-5481,verified,primary_verified,P2,,,
T2DM-FIB-01,T2DM,,fiber_g,min,20,g,absolute,hard,"Bộ Y tế, Quyết định 5481/QĐ-BYT ngày 30/12/2020 — 'Hướng dẫn chẩn đoán và điều trị đái tháo đường típ 2', Phần 4 Điều trị > Tư vấn và hỗ trợ thay đổi lối sống > Dinh dưỡng. Chất xơ — nguyên văn: 'Nhu cầu: 20 – 30g/ngày.' Sửa 2026-08-15 (R2): mốc cũ 14 g/1000 kcal là khuyến nghị ADA (Mỹ); quy đổi ở mức năng lượng người Việt cho ra ~36,6 g/ngày, VƯỢT TRẦN dải 20–30 g của phác đồ trong nước. Đổi sang tuyệt đối g/ngày theo QĐ 5481. CẢNH BÁO: BASE-FIB-01 vẫn giữ 14 g/1000 kcal nên tiếp tục chi phối sàn xơ — R2 cần quyết định riêng.",BYT-5481,verified,primary_verified,P1,,,
T2DM-SUG-01,T2DM,,sugar_g,max,10,%E,pct_energy,soft,WHO 2015 Guideline: Sugars intake for adults and children - đường tự do < 10% tổng năng lượng (khuyến nghị mạnh); < 5% là khuyến nghị có điều kiện,strong,verified,secondary,P2,,,
T2DM-PRO-01,T2DM,,protein_g,min,15,%E,pct_energy,soft,"Bộ Y tế, Quyết định 5481/QĐ-BYT ngày 30/12/2020 — 'Hướng dẫn chẩn đoán và điều trị đái tháo đường típ 2', Phần 4 Điều trị > Tư vấn và hỗ trợ thay đổi lối sống > Dinh dưỡng. Protein: 15 – 20% tổng năng lượng. Sửa 2026-08-15 (R2): sàn cũ 13%E lấy từ AMDR chung của NIN 2016, thấp hơn phác đồ ĐTĐ chuyên biệt. Vẫn bị CKD-PRO-01 (0.8 g/kg) ghi đè ở ca CKD đồng mắc — xem cột overridden_by. [R2 CHỐT 2026-08-18 — ĐÃ CÂN NHẮC VÀ GIỮ NGUYÊN: hội thảo t-DNA 16/08/2026 đề xuất 20-25 %E. Sau khi tra cứu, quyết định GIỮ 15-20 %E theo QĐ 5481. Ba căn cứ: (1) ADA Standards of Care 2026 KHÔNG đặt %E chung cho người lớn ĐTĐ2, mốc duy nhất họ nêu là cho người cao tuổi 0,8-1,5 g/kg HOẶC 15-20 %E — trùng khít QĐ 5481, không trùng đề xuất hội thảo; ADA/EASD 2019 Consensus tuyên bố không có tỷ lệ %E lý tưởng. (2) Bằng chứng cho protein cao ở ĐTĐ2 KHÔNG nhất quán ở đúng mục tiêu chính là đường huyết: phân tích gộp 12 nghiên cứu (n=1.138) không thấy khác biệt FPG/HbA1c; lợi ích thật nằm ở cân nặng (-2,08 kg) và lipid. (3) CĂN CỨ QUYẾT ĐỊNH — nguy cơ thận ở nhóm nhận ngưỡng mặc định: ADD-CKD Study (Szczech LA et al., PLoS One 2014, n=9.307 bệnh nhân ĐTĐ2) cho thấy 54,1% có CKD giai đoạn 1-5 nhưng CHỈ 12,1% được bác sĩ nhận biết (giai đoạn 1: chỉ 1,1%). Một hồ sơ khai 'chỉ có ĐTĐ2' có xác suất đáng kể thật ra có CKD chưa chẩn đoán, mà KDIGO 2024 giới hạn protein 0,8 g/kg (xem CKD-PRO-01). Nâng trần mặc định lên 25 %E là cho nhóm đó ăn thêm đạm. Protein cao vẫn là lựa chọn CÁ THỂ HOÁ của chuyên gia cho bệnh nhân đã xác nhận chức năng thận bình thường — đúng tầng, không phải ngưỡng mặc định của hệ thống.]",BYT-5481,verified,primary_verified,P2,CKD,,
T2DM-PRO-02,T2DM,,protein_g,min,0.8,g/kg,per_kg,soft,ADA Standards of Care in Diabetes 2026 - người cao tuổi mắc ĐTĐ tối thiểu 0.8 g/kg để duy trì khối nạc,B,verified,secondary,P2,CKD,,elderly
T2DM-PRO-03,T2DM,,protein_g,max,20,%E,pct_energy,soft,"Bộ Y tế, Quyết định 5481/QĐ-BYT ngày 30/12/2020 — 'Hướng dẫn chẩn đoán và điều trị đái tháo đường típ 2', Phần 4 Điều trị > Tư vấn và hỗ trợ thay đổi lối sống > Dinh dưỡng. Nguyên văn: 'Protein: 15 – 20% tổng năng lượng.' Thêm 2026-08-15 (R2 chốt): trước đây chỉ có SÀN (T2DM-PRO-01 15%E, T2DM-PRO-02 0.8 g/kg), thiếu hẳn TRẦN — hồ sơ chỉ có ĐTĐ2 không có giới hạn đạm trên, phát hiện khi dựng eval tầng C (DEC-028). Ca CKD đồng mắc vẫn để CKD-PRO-01/05/07 ghi đè vì trần theo g/kg của KDIGO chặt hơn — xem cột overridden_by. [R2 CHỐT 2026-08-18 — ĐÃ CÂN NHẮC VÀ GIỮ NGUYÊN: hội thảo t-DNA 16/08/2026 đề xuất 20-25 %E. Sau khi tra cứu, quyết định GIỮ 15-20 %E theo QĐ 5481. Ba căn cứ: (1) ADA Standards of Care 2026 KHÔNG đặt %E chung cho người lớn ĐTĐ2, mốc duy nhất họ nêu là cho người cao tuổi 0,8-1,5 g/kg HOẶC 15-20 %E — trùng khít QĐ 5481, không trùng đề xuất hội thảo; ADA/EASD 2019 Consensus tuyên bố không có tỷ lệ %E lý tưởng. (2) Bằng chứng cho protein cao ở ĐTĐ2 KHÔNG nhất quán ở đúng mục tiêu chính là đường huyết: phân tích gộp 12 nghiên cứu (n=1.138) không thấy khác biệt FPG/HbA1c; lợi ích thật nằm ở cân nặng (-2,08 kg) và lipid. (3) CĂN CỨ QUYẾT ĐỊNH — nguy cơ thận ở nhóm nhận ngưỡng mặc định: ADD-CKD Study (Szczech LA et al., PLoS One 2014, n=9.307 bệnh nhân ĐTĐ2) cho thấy 54,1% có CKD giai đoạn 1-5 nhưng CHỈ 12,1% được bác sĩ nhận biết (giai đoạn 1: chỉ 1,1%). Một hồ sơ khai 'chỉ có ĐTĐ2' có xác suất đáng kể thật ra có CKD chưa chẩn đoán, mà KDIGO 2024 giới hạn protein 0,8 g/kg (xem CKD-PRO-01). Nâng trần mặc định lên 25 %E là cho nhóm đó ăn thêm đạm. Protein cao vẫn là lựa chọn CÁ THỂ HOÁ của chuyên gia cho bệnh nhân đã xác nhận chức năng thận bình thường — đúng tầng, không phải ngưỡng mặc định của hệ thống.]",BYT-5481,verified,primary_verified,P2,CKD,,
HTN-NA-01,HTN,,na_mg,max,2000,mg,absolute,soft,"WHO 2012 / AHA - natri < 2000 mg/ngày (< 5 g muối) · Chứng thực độc lập từ nguồn Việt Nam: '555 món ăn Việt Nam - Kỹ thuật chế biến và giá trị dinh dưỡng', Bộ môn Nghiệp vụ Kỹ thuật Khách sạn, Trường ĐH Thương mại, Hà Nội 2002 (in lần đầu 1991), tr.477: 'Lượng Na dùng trong 1 ngày không được quá 2 g, tương ứng với 5 g NaCl' — cùng ngưỡng, có trước QĐ 5481 gần 20 năm. THAM KHẢO, không phải căn cứ ban hành. [R2 CHỐT 2026-08-17: hạ severity hard->soft, risk_level->P1 (rule không liên quan trực tiếp ĐTĐ2 — CKD/HTN/GOUT). Lý do: dự án trọng tâm ĐTĐ2 (CLAUDE.md), các rule bệnh đồng mắc vẫn TÍNH & PHÁT HIỆN xung đột như cũ (compute_targets/DEC-007 không thu hẹp), nhưng không còn CHẶN PHÁT HÀNH toàn bộ hồ sơ/dữ liệu — chỉ còn cảnh báo cho chuyên gia khi đồng mắc ĐTĐ2. Ngưỡng/công thức giữ nguyên, không đổi giá trị lâm sàng.]",strong,verified,secondary,P1,,,
