dish_id,food_id,grams,note,vai_tro
PHO-BO,5,200,Bánh phở tươi,
PHO-BO,21,50,Thịt bò thăn,
PHO-BO,137,1.91,tiết chế: còn 19% so với công thức gốc,
PHO-BO,139,0.29,tiết chế: còn 19% so với công thức gốc,
PHO-BO,62,30,Giá đỗ,
BUN-DAU-MAM,4,200,Bún tươi,
BUN-DAU-MAM,55,100,Đậu phụ,
BUN-DAU-MAM,137,4.56,tiết chế: còn 57% so với công thức gốc,
CANH-RAU-MUONG,65,100,Rau muống,
CANH-RAU-MUONG,137,0.36,tiết chế: còn 12% so với công thức gốc,
CANH-RAU-MUONG,139,0.06,tiết chế: còn 12% so với công thức gốc,
VN-RAU-MUONG-XAO-TOI,65,200,Rau muống,
VN-RAU-MUONG-XAO-TOI,151,5,Tỏi,
VN-RAU-MUONG-XAO-TOI,129,10,Dầu ăn thực vật,
VN-DAU-PHU-SOT-CA,55,200,Đậu phụ,
VN-DAU-PHU-SOT-CA,85,100,Cà chua,
VN-DAU-PHU-SOT-CA,2041,10,Hành củ tươi,
VN-DAU-PHU-SOT-CA,129,10,Dầu ăn thực vật,
VN-GA-KHO-GUNG,2095,200,Thịt gà ta,
VN-GA-KHO-GUNG,152,15,Gừng,
VN-GA-KHO-GUNG,137,3.62,tiết chế: còn 93% so với công thức gốc,
VN-CANH-CAI-TOM,68,150,Rau cải ngọt,
VN-CANH-CAI-TOM,47,50,Tôm biển,
VN-CANH-CAI-TOM,137,1.94,tiết chế: còn 19% so với công thức gốc,
VN-SUON-XAO-CHUA-NGOT,2121,200,Sườn lợn,
VN-SUON-XAO-CHUA-NGOT,85,50,Cà chua,
VN-SUON-XAO-CHUA-NGOT,102,30,Hành tây,
VN-TRUNG-CHIEN,33,120,Trứng gà,
VN-TRUNG-CHIEN,2041,10,Hành củ tươi,
VN-TRUNG-CHIEN,129,10,Dầu ăn thực vật,
VN-CANH-SU-HAO,88,150,Su hào,
VN-CANH-SU-HAO,86,50,Cà rốt,
VN-CANH-SU-HAO,19,50,Thịt lợn nạc,
VN-NAM-XAO-THIT-BO,101,50,Nấm hương,
VN-NAM-XAO-THIT-BO,21,100,Thịt bò thăn,
VN-NAM-XAO-THIT-BO,151,5,Tỏi,
VN-NAM-XAO-THIT-BO,129,10,Dầu ăn thực vật,
BANH-MI-THIT-VCB,4056,10.00,Nguồn: vietnamesecookbook.com,
BANH-MI-THIT-VCB,131,25.00,Nguồn: vietnamesecookbook.com,
BANH-MI-THIT-VCB,137,2.25,tiết chế: còn 60% so với công thức gốc,
BANH-MI-THIT-VCB,2161,15.00,Nguồn: vietnamesecookbook.com,
BANH-MI-THIT-VCB,95,37.50,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
BANH-MI-THIT-VCB,78,5.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
BANH-MI-THIT-VCB,143,2.25,tiết chế: còn 60% so với công thức gốc,
BUN-BO-HUE-VCB,22,166.67,Nguồn: vietnamesecookbook.com,
BUN-BO-HUE-VCB,4054,133.33,Nguồn: vietnamesecookbook.com,
BUN-BO-HUE-VCB,102,25.00,Nguồn: vietnamesecookbook.com,
BUN-BO-HUE-VCB,137,3.45,tiết chế: còn 46% so với công thức gốc,
BUN-BO-HUE-VCB,129,10.00,Nguồn: vietnamesecookbook.com,
BUN-BO-HUE-VCB,4,133.33,Nguồn: vietnamesecookbook.com,
CA-PHE-SUA-DA-VCB,125,35,Nguồn: vietnamesecookbook.com,
BANH-XEO-VCB,4003,62.50,Nguồn: vietnamesecookbook.com,
BANH-XEO-VCB,136,50.00,Nguồn: vietnamesecookbook.com,
BANH-XEO-VCB,139,0.78,tiết chế: còn 62% so với công thức gốc,
BANH-XEO-VCB,79,5.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
BANH-XEO-VCB,20,50.00,Nguồn: vietnamesecookbook.com,
BANH-XEO-VCB,47,50.00,Nguồn: vietnamesecookbook.com,
BANH-XEO-VCB,102,37.50,Nguồn: vietnamesecookbook.com,
BANH-XEO-VCB,62,62.50,Nguồn: vietnamesecookbook.com,
BANH-XEO-VCB,129,22.50,Nguồn: vietnamesecookbook.com,
BANH-XEO-VCB,76,25.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
CA-KHO-TO-VCB,137,1.85,tiết chế: còn 95% so với công thức gốc,
CA-KHO-TO-VCB,149,3.00,Nguồn: vietnamesecookbook.com,
CA-KHO-TO-VCB,151,3.75,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
CA-KHO-TO-VCB,137,1.85,tiết chế: còn 95% so với công thức gốc,
CA-KHO-TO-VCB,122,37.50,Nguồn: vietnamesecookbook.com,
CA-KHO-TO-VCB,129,3.75,Nguồn: vietnamesecookbook.com,
CA-KHO-TO-VCB,79,5.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
GOI-CUON-VCB,20,87.50,Nguồn: vietnamesecookbook.com,
GOI-CUON-VCB,47,87.50,Nguồn: vietnamesecookbook.com,
GOI-CUON-VCB,4,25.00,Nguồn: vietnamesecookbook.com,
GOI-CUON-VCB,76,30.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
GOI-CUON-VCB,151,1.25,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
GOI-CUON-VCB,132,7.50,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
CANH-CHUA-CA-VCB,137,1.95,tiết chế: còn 17% so với công thức gốc,
CANH-CHUA-CA-VCB,149,6.25,Nguồn: vietnamesecookbook.com,
CANH-CHUA-CA-VCB,151,3.75,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
CANH-CHUA-CA-VCB,111,50.00,Nguồn: vietnamesecookbook.com,
CANH-CHUA-CA-VCB,85,60.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
CANH-CHUA-CA-VCB,97,22.50,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
CANH-CHUA-CA-VCB,62,25.00,Nguồn: vietnamesecookbook.com,
CANH-CHUA-CA-VCB,129,7.50,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
COM-TAM-VCB,151,3.75,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
COM-TAM-VCB,137,2.33,tiết chế: còn 21% so với công thức gốc,
COM-TAM-VCB,4076,10.00,Nguồn: vietnamesecookbook.com,
COM-TAM-VCB,149,3.00,Nguồn: vietnamesecookbook.com,
COM-TAM-VCB,129,7.50,Nguồn: vietnamesecookbook.com,
COM-TAM-VCB,79,10.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
COM-TAM-VCB,129,15.00,Nguồn: vietnamesecookbook.com,
COM-TAM-VCB,33,50.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
MI-QUANG-VCB,47,75.00,Nguồn: vietnamesecookbook.com,
MI-QUANG-VCB,2159,7.50,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
MI-QUANG-VCB,151,5.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
MI-QUANG-VCB,137,5.19,tiết chế: còn 69% so với công thức gốc,
MI-QUANG-VCB,36,13.50,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
MI-QUANG-VCB,132,15.00,Nguồn: vietnamesecookbook.com,
MI-QUANG-VCB,121,15.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
NUOC-CHAM-VCB,137,10.00,Nguồn: vietnamesecookbook.com,
NUOC-CHAM-VCB,121,10.00,Nguồn: vietnamesecookbook.com,
NUOC-CHAM-VCB,149,8.33,Nguồn: vietnamesecookbook.com,
NUOC-CHAM-VCB,151,1.67,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
THIT-KHO-TRUNG-VCB,20,166.67,Nguồn: vietnamesecookbook.com,
THIT-KHO-TRUNG-VCB,33,83.33,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
THIT-KHO-TRUNG-VCB,122,83.33,Nguồn: vietnamesecookbook.com,
THIT-KHO-TRUNG-VCB,137,2.59,tiết chế: còn 26% so với công thức gốc,
THIT-KHO-TRUNG-VCB,149,3.33,Nguồn: vietnamesecookbook.com,
THIT-KHO-TRUNG-VCB,151,2.50,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
BUN-RIEU-VCB,33,37.50,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
BUN-RIEU-VCB,85,150.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
BUN-RIEU-VCB,144,2.05,tiết chế: còn 55% so với công thức gốc,
BUN-RIEU-VCB,137,4.10,tiết chế: còn 55% so với công thức gốc,
BUN-RIEU-VCB,4,100.00,Nguồn: vietnamesecookbook.com,
BUN-RIEU-VCB,55,75.00,Nguồn: vietnamesecookbook.com,
BUN-RIEU-VCB,65,25.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
BUN-RIEU-VCB,121,15.00,"Ước lượng quy đổi từ đơn vị bếp (chưa cân đo thật), nguồn: vietnamesecookbook.com",
BANH-MI-THIT-VCB,7,20.00,"Nguồn: vietnamesecookbook.com — 4 ổ/4 người, ước lượng 80g/ổ (bánh mì Việt Nam thường nhẹ hơn bánh mì Âu)",
COM-TAM-VCB,4060,75.00,"Nguồn: vietnamesecookbook.com — 4 miếng sườn cốt lết/4 người, ước lượng 75g/miếng",
GOI-CUON-VCB,3022,3.75,"Ước lượng quy đổi từ đơn vị bếp (12 cọng hẹ ~1.25g/cọng, chưa cân đo thật), nguồn: vietnamesecookbook.com",
NIN-BUN-DAU,4,200,,
NIN-BUN-DAU,56,120,,
NIN-BUN-DAU,144,10,,
NIN-BUN-DAU,76,30,,
NIN-BUN-DAU,78,5,,
NIN-BUN-DOC-MUNG,4,200,,
NIN-BUN-DOC-MUNG,20,60,,
NIN-BUN-DOC-MUNG,85,40,,
NIN-BUN-DOC-MUNG,137,5.18,tiết chế: còn 35% so với công thức gốc,
NIN-BUN-DOC-MUNG,79,10,,
NIN-BUN-BO-NAM-BO,4,200,,
NIN-BUN-BO-NAM-BO,21,80,,
NIN-BUN-BO-NAM-BO,62,30,,
NIN-BUN-BO-NAM-BO,78,5,,
NIN-BUN-BO-NAM-BO,132,10,,
NIN-BUN-BO-NAM-BO,137,5.18,tiết chế: còn 35% so với công thức gốc,
NIN-BUN-BO-NAM-BO,151,5,,
NIN-CHAO-SUON,18,320,,
NIN-CHAO-SUON,20,60,,
NIN-CHAO-SUON,79,8,,
NIN-CHAO-SUON,137,5,,
NIN-COM-RANG,2,250,,
NIN-COM-RANG,33,55,,
NIN-COM-RANG,86,30,,
NIN-COM-RANG,79,10,,
NIN-COM-RANG,129,10,,
NIN-COM-RANG,137,3.89,tiết chế: còn 78% so với công thức gốc,
NIN-XOI-LAC,10,220,,
NIN-XOI-LAC,132,30,,
NIN-NEM-RAN,19,100,,
NIN-NEM-RAN,33,30,,
NIN-NEM-RAN,6,20,,
NIN-NEM-RAN,86,30,,
NIN-NEM-RAN,79,10,,
NIN-NEM-RAN,137,3.89,tiết chế: còn 39% so với công thức gốc,
NIN-NEM-LUI,19,150,,
NIN-NEM-LUI,151,5,,
NIN-NEM-LUI,137,3.89,tiết chế: còn 39% so với công thức gốc,
NIN-CHA-LA-LOT,19,120,,
NIN-CHA-LA-LOT,130,20,,
NIN-CHA-LA-LOT,137,3.89,tiết chế: còn 39% so với công thức gốc,
NIN-CHA-LA-LOT,151,5,,
NIN-GIO-LUA,19,95,,
NIN-GIO-LUA,137,3.89,tiết chế: còn 78% so với công thức gốc,
NIN-GIO-BO,22,95,,
NIN-GIO-BO,137,3.89,tiết chế: còn 78% so với công thức gốc,
NIN-CHA-QUE,19,70,,
NIN-CHA-QUE,149,5,,
NIN-CHA-QUE,137,3.30,tiết chế: còn 33% so với công thức gốc,
NIN-CHA-QUE-LON,19,70,,
NIN-CHA-QUE-LON,149,5,,
NIN-CHA-QUE-LON,137,3.30,tiết chế: còn 33% so với công thức gốc,
NIN-CHA-CA-BASA,40,180,,
NIN-CHA-CA-BASA,137,3.89,tiết chế: còn 39% so với công thức gốc,
NIN-CHA-CA-BASA,79,10,,
NIN-THIT-VIT-HAM,25,200,,
NIN-THIT-VIT-HAM,137,3.89,tiết chế: còn 39% so với công thức gốc,
NIN-THIT-VIT-HAM,152,5,,
NIN-THIT-XIEN-NUONG,19,130,,
NIN-THIT-XIEN-NUONG,151,5,,
NIN-THIT-XIEN-NUONG,137,2.21,tiết chế: còn 95% so với công thức gốc,
NIN-NOM-TAI-LON,78,10,,
NIN-NOM-TAI-LON,132,20,,
NIN-NOM-TAI-LON,137,0.45,tiết chế: còn 70% so với công thức gốc,
NIN-NOM-TAI-LON,151,3,,
NIN-CHE-DO-DEN,59,60,,
NIN-CHE-DO-DEN,149,40,,
NIN-CHE-DO-DEN,136,30,,
NIN-CHE-DO-DO,60,60,,
NIN-CHE-DO-DO,149,40,,
NIN-CHE-DO-DO,136,30,,
NIN-CHE-DO-XANH,58,60,,
NIN-CHE-DO-XANH,149,40,,
NIN-CHE-DO-XANH,136,30,,
NIN-CHE-CHUOI,103,100,,
NIN-CHE-CHUOI,149,30,,
NIN-CHE-CHUOI,136,50,,
NIN-CHE-BUOI,106,80,,
NIN-CHE-BUOI,58,40,,
NIN-CHE-BUOI,149,40,,
NIN-XOI-GAC,10,230,,
NIN-XOI-GAC,149,15,,
NIN-BANH-CUON-NONG-NHAN-THIT,2008,30,,
NIN-BANH-CUON-NONG-NHAN-THIT,19,50,,
NIN-BANH-CUON-NONG-NHAN-THIT,101,10,,
NIN-BANH-CUON-NONG-NHAN-THIT,137,2.11,tiết chế: còn 92% so với công thức gốc,
NIN-BANH-DUC,2008,150,,
NIN-BANH-DUC,139,0.77,tiết chế: còn 26% so với công thức gốc,
NIN-BANH-DUC-NONG,2008,40,,
NIN-BANH-DUC-NONG,19,30,,
NIN-BANH-DUC-NONG,137,1.50,tiết chế: còn 95% so với công thức gốc,
NIN-BANH-DUC-NGUOI,2008,150,,
NIN-BANH-DUC-NGUOI,139,0.77,tiết chế: còn 26% so với công thức gốc,
NIN-BANH-BAO-NHAN-THIT,16,90,,
NIN-BANH-BAO-NHAN-THIT,19,40,,
NIN-BANH-BAO-NHAN-THIT,33,15,,
NIN-BANH-BAO-CHIEN-CO-NHAN,16,90,,
NIN-BANH-BAO-CHIEN-CO-NHAN,19,40,,
NIN-BANH-BAO-CHIEN-CO-NHAN,129,10,,
NIN-BANH-MI-XIU-MAI,7,100,,
NIN-BANH-MI-XIU-MAI,19,100,,
NIN-BANH-MI-XIU-MAI,85,30,,
NIN-BANH-MI-XIU-MAI,137,3.89,tiết chế: còn 39% so với công thức gốc,
NIN-BANH-TE,2008,40,,
NIN-BANH-TE,19,30,,
NIN-BANH-TE,101,5,,
NIN-BANH-KHUC,10,100,,
NIN-BANH-KHUC,58,30,,
NIN-BANH-KHUC,20,20,,
NIN-BANH-KHOAI,11,150,,
NIN-BANH-KHOAI,16,40,,
NIN-BANH-KHOAI,129,10,,
NIN-BANH-KHOAI-SO-CHIEN,13,150,,
NIN-BANH-KHOAI-SO-CHIEN,16,40,,
NIN-BANH-KHOAI-SO-CHIEN,129,10,,
NIN-BANH-GIO-BANH,10,140,,
NIN-BANH-GIO-BANH,149,10,,
NIN-BANH-GAI,2007,90,,
NIN-BANH-GAI,58,40,,
NIN-BANH-GAI,149,15,,
NIN-BANH-COM,10,60,,
NIN-BANH-COM,58,35,,
NIN-BANH-COM,149,5,,
NIN-BANH-DEO-NHAN-THAP-CAM,2007,90,,
NIN-BANH-DEO-NHAN-THAP-CAM,132,20,,
NIN-BANH-DEO-NHAN-THAP-CAM,133,10,,
NIN-BANH-DEO-NHAN-THAP-CAM,149,25,,
NIN-BANH-DEO-NHAN-TRUNG,2007,90,,
NIN-BANH-DEO-NHAN-TRUNG,34,30,,
NIN-BANH-DEO-NHAN-TRUNG,149,25,,
NIN-BANH-NUONG-NHAN-THAP-CAM,16,80,,
NIN-BANH-NUONG-NHAN-THAP-CAM,132,20,,
NIN-BANH-NUONG-NHAN-THAP-CAM,133,10,,
NIN-BANH-NUONG-NHAN-THAP-CAM,149,25,,
NIN-BANH-NUONG-NHAN-THAP-CAM,130,10,,
NIN-BANH-NUONG-NHAN-TRUNG-DO-XANH,16,80,,
NIN-BANH-NUONG-NHAN-TRUNG-DO-XANH,58,30,,
NIN-BANH-NUONG-NHAN-TRUNG-DO-XANH,34,25,,
NIN-BANH-NUONG-NHAN-TRUNG-DO-XANH,149,15,,
NIN-BANH-CHIN-TANG-MAY,2008,80,,
NIN-BANH-CHIN-TANG-MAY,149,20,,
NIN-BANH-CHA,16,60,,
NIN-BANH-CHA,20,30,,
NIN-BANH-CHA,149,10,,
NIN-CARAMEN,33,30,,
NIN-CARAMEN,123,60,,
NIN-CARAMEN,149,10,,
NIN-GIO-THU-LON,28,40,,
NIN-GIO-THU-LON,27,30,,
NIN-GIO-THU-LON,137,3.89,tiết chế: còn 78% so với công thức gốc,
NIN-GIO-THU-LON,4028,10,,
NIN-DOI-LON,27,60,,
NIN-DOI-LON,1106092,35,,
CA-KHO-TO-VCB,40,150.00,Ca basa - proxy cho ca bong lau 600g theo cong thuc goc vietnamesecookbook.com/vi/recipes/ca-kho-to/ (fetch 2026-08-12),
CA-KHO-TO-VCB,149,11.25,"Duong - proxy cho nuoc hang/caramel sauce 3 muong canh, chua co food_item nuoc hang rieng, nguon cong thuc goc",
CANH-CHUA-CA-VCB,40,125.00,Ca basa - proxy cho ca bong lau 500g theo cong thuc goc vietnamesecookbook.com/vi/recipes/canh-chua-ca/ (fetch 2026-08-12),
CA-PHE-SUA-DA-VCB,4111,3,"Cà phê tan (bột hoà tan) — proxy cho cà phê phin rang xay: một phin cà phê sữa đá dùng ~15-20g CÀ PHÊ BỘT nhưng phần lớn bã bị loại bỏ khi lọc, chỉ phần hoạt chất/chất hoà tan đi vào nước — ước tính quy đổi tương đương ~3g bột hoà tan nguyên chất cho 1 ly. is_estimated đã gắn sẵn ở food_items (R2 cần xác nhận độ phù hợp trước khi dùng cho bệnh nhân).",
GOI-CUON-VCB,2008,8.75,"Bột gạo tẻ — proxy cho bánh tráng (không có food_item bánh tráng riêng). Bánh tráng khô ăn gần như ở dạng khô (chỉ nhúng nước vài giây, không hấp/tráng ướt như bánh cuốn), nên KHÔNG áp hệ số hydrat hoá — dùng trực tiếp khối lượng khô ~3-4 tấm/khẩu phần, cùng cách đã dùng cho NIN-BANH-DA-NEM (30g/khẩu phần).",
COM-TAM-VCB,1,80.00,"Gạo tẻ (sống) — công thức gốc KHÔNG có nguyên liệu tinh bột nào (lỗi thiếu nghiêm trọng nhất trong đợt rà 2026-08-13). Bổ sung 320g gạo tẻ sống cho cả mẻ 4 người (~80g/người, tương đương ~200g cơm chín/khẩu phần) — mức phổ biến cho cơm tấm sườn.",
MI-QUANG-VCB,4,150.00,"Bún tươi — proxy cho sợi mì Quảng to bản (không có food_item riêng), ĐÚNG như proxy note gốc đã đề xuất nhưng chưa từng được thêm vào công thức. 600g cho cả mẻ 4 người (~150g/người), khớp quy mô các món VCB khác dùng bún tươi/bánh phở tươi trong cùng file.",
BUN-RIEU-VCB,49,100.00,"Cua đồng — thành phần định danh của 'bún riêu CUA', công thức gốc hoàn toàn thiếu. 400g cho cả mẻ 4 người (~100g/người), mức phổ biến để đủ tạo riêu/gạch cua khi nấu.",
BANH-MI-THIT-VCB,19,75.00,"Thịt lợn nạc — proxy cho chả lụa/thịt nguội (không có food_item riêng). Đây là thành phần 'thịt' định danh của bánh mì thịt, công thức gốc chỉ có gan gà (đã giảm xuống mức pate hợp lý, xem dòng gan gà). 300g cho cả mẻ 4 người (~75g/người), mức phổ biến cho 1 ổ bánh mì thịt đầy đủ.",
VN-RAU-MUONG-XAO-TOI,137,2.33,tiết chế: thêm cho đủ đích 180 mg Na (công thức gốc thiếu dòng gia vị),
VN-DAU-PHU-SOT-CA,137,3.89,tiết chế: thêm cho đủ đích 300 mg Na (công thức gốc thiếu dòng gia vị),
VN-SUON-XAO-CHUA-NGOT,137,2.33,tiết chế: thêm cho đủ đích 180 mg Na (công thức gốc thiếu dòng gia vị),
VN-TRUNG-CHIEN,137,2.33,tiết chế: thêm cho đủ đích 180 mg Na (công thức gốc thiếu dòng gia vị),
VN-CANH-SU-HAO,137,1.94,tiết chế: thêm cho đủ đích 150 mg Na (công thức gốc thiếu dòng gia vị),
VN-NAM-XAO-THIT-BO,137,2.33,tiết chế: thêm cho đủ đích 180 mg Na (công thức gốc thiếu dòng gia vị),
GOI-CUON-VCB,137,0.16,tiết chế: thêm cho đủ đích 50 mg Na (công thức gốc thiếu dòng gia vị),
NIN-BANH-BAO-NHAN-THIT,137,3.89,tiết chế: thêm cho đủ đích 300 mg Na (công thức gốc thiếu dòng gia vị),
NIN-BANH-BAO-CHIEN-CO-NHAN,137,2.33,tiết chế: thêm cho đủ đích 180 mg Na (công thức gốc thiếu dòng gia vị),
NIN-BANH-TE,137,3.89,tiết chế: thêm cho đủ đích 300 mg Na (công thức gốc thiếu dòng gia vị),
NIN-BANH-KHUC,137,3.89,tiết chế: thêm cho đủ đích 300 mg Na (công thức gốc thiếu dòng gia vị),
NIN-BANH-KHOAI,137,3.89,tiết chế: thêm cho đủ đích 300 mg Na (công thức gốc thiếu dòng gia vị),
NIN-BANH-KHOAI-SO-CHIEN,137,3.89,tiết chế: thêm cho đủ đích 300 mg Na (công thức gốc thiếu dòng gia vị),
NIN-DOI-LON,137,3.89,tiết chế: thêm cho đủ đích 300 mg Na (công thức gốc thiếu dòng gia vị),
GLU-CAI-THIA-XAO,3016,150.00,Cải thìa,
GLU-CAI-THIA-XAO,129,4.00,Dầu ăn,
GLU-CAI-THIA-XAO,151,3.00,Tỏi,
GLU-CAI-THIA-XAO,137,2.33,Nước mắm — tiết chế 180 mg Na,
GLU-CANH-CHUA-TEP,3045,16.00,Tép gạo (dùng số liệu tôm đồng),
GLU-CANH-CHUA-TEP,62,50.00,Giá đỗ,
GLU-CANH-CHUA-TEP,85,50.00,Cà chua,
GLU-CANH-CHUA-TEP,97,50.00,Đậu bắp,
GLU-CANH-CHUA-TEP,137,1.94,Nước mắm — tiết chế 150 mg Na,
GLU-CANH-CAI-XANH-THIT,69,100.00,Cải xanh,
GLU-CANH-CAI-XANH-THIT,19,10.00,Thịt lợn nạc,
GLU-CANH-CAI-XANH-THIT,137,1.94,Nước mắm — tiết chế 150 mg Na,
GLU-RAU-CU-LUOC,89,100.00,Su su,
GLU-RAU-CU-LUOC,86,50.00,Cà rốt,
GLU-RAU-CU-LUOC,137,0.65,Nước mắm — tiết chế 50 mg Na,
GLU-CANH-BI-XANH-THIT,3012,150.00,Bí xanh,
GLU-CANH-BI-XANH-THIT,19,10.00,Thịt lợn nạc,
GLU-CANH-BI-XANH-THIT,137,1.94,Nước mắm — tiết chế 150 mg Na,
GLU-BAP-CAI-CA-ROT-XAO,71,150.00,Bắp cải,
GLU-BAP-CAI-CA-ROT-XAO,86,50.00,Cà rốt,
GLU-BAP-CAI-CA-ROT-XAO,151,5.00,Tỏi,
GLU-BAP-CAI-CA-ROT-XAO,129,5.00,Dầu ăn,
GLU-BAP-CAI-CA-ROT-XAO,137,2.33,Nước mắm — tiết chế 180 mg Na,
GLU-DUA-LEO,95,200.00,Dưa leo,
GLU-BO-XAO-OT-CHUONG,21,70.00,Thịt bò nạc,
GLU-BO-XAO-OT-CHUONG,2048,100.00,Ớt chuông,
GLU-BO-XAO-OT-CHUONG,129,5.00,Dầu ăn,
GLU-BO-XAO-OT-CHUONG,151,3.00,Tỏi,
GLU-BO-XAO-OT-CHUONG,137,2.33,Nước mắm — tiết chế 180 mg Na,
VN-COM-TE,2,170.00,Cơm tẻ,
VN-COM-GAO-LUT,3,100.00,Cơm gạo lứt,
VN-BUN-TUOI,4,156.00,Bún,
VN-BANH-PHO,5,124.00,Bánh phở,
VN-MIEN-DONG,6,50.00,Miến dong,
VN-CANH-RAU-NGOT,5002,100.00,Rau ngót,
VN-RAU-NGOT-LUOC,5002,150.00,Rau ngót,
VN-CANH-RAU-NGOT,137,1.94,Nước mắm — tiết chế 150 mg Na (canh); sửa 2026-08-16 cho khớp mốc DEC-026,
VN-CANH-RAU-DEN,67,100.00,Canh,
VN-CANH-RAU-DEN,137,1.94,Nước mắm — tiết chế 150 mg Na (canh),
