dish_id,unit_code,grams,source_ref,verified_by
PHO-BO,bat_an,450.0,serving_g của chính món trong dishes.csv (450 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
PHO-BO,chen_an,450.0,serving_g của chính món trong dishes.csv (450 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
PHO-BO,doi_an,450.0,serving_g của chính món trong dishes.csv (450 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
PHO-BO,to_an,450.0,serving_g của chính món trong dishes.csv (450 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-DAU-MAM,bat_an,350.0,serving_g của chính món trong dishes.csv (350 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-DAU-MAM,chen_an,350.0,serving_g của chính món trong dishes.csv (350 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-DAU-MAM,doi_an,350.0,serving_g của chính món trong dishes.csv (350 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-DAU-MAM,to_an,350.0,serving_g của chính món trong dishes.csv (350 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-BO-HUE-VCB,bat_an,472.0,serving_g của chính món trong dishes.csv (472 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-BO-HUE-VCB,chen_an,472.0,serving_g của chính món trong dishes.csv (472 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-BO-HUE-VCB,doi_an,472.0,serving_g của chính món trong dishes.csv (472 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-BO-HUE-VCB,to_an,472.0,serving_g của chính món trong dishes.csv (472 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
MI-QUANG-VCB,bat_an,286.0,serving_g của chính món trong dishes.csv (286 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
MI-QUANG-VCB,chen_an,286.0,serving_g của chính món trong dishes.csv (286 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
MI-QUANG-VCB,doi_an,286.0,serving_g của chính món trong dishes.csv (286 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
MI-QUANG-VCB,to_an,286.0,serving_g của chính món trong dishes.csv (286 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-RIEU-VCB,bat_an,509.0,serving_g của chính món trong dishes.csv (509 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-RIEU-VCB,chen_an,509.0,serving_g của chính món trong dishes.csv (509 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-RIEU-VCB,doi_an,509.0,serving_g của chính món trong dishes.csv (509 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
BUN-RIEU-VCB,to_an,509.0,serving_g của chính món trong dishes.csv (509 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-BO-CHIN,bat_an,335.5,"serving_g của chính món trong dishes.csv (335.5 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới. [ĐỒNG BỘ 2026-08-17: công thức món đổi (nguồn sách 555), serving_g 302.0 -> 229.1 g.]",Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-BO-CHIN,chen_an,335.5,"serving_g của chính món trong dishes.csv (335.5 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới. [ĐỒNG BỘ 2026-08-17: công thức món đổi (nguồn sách 555), serving_g 302.0 -> 229.1 g.]",Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-BO-CHIN,doi_an,335.5,"serving_g của chính món trong dishes.csv (335.5 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới. [ĐỒNG BỘ 2026-08-17: công thức món đổi (nguồn sách 555), serving_g 302.0 -> 229.1 g.]",Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-BO-CHIN,to_an,335.5,"serving_g của chính món trong dishes.csv (335.5 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới. [ĐỒNG BỘ 2026-08-17: công thức món đổi (nguồn sách 555), serving_g 302.0 -> 229.1 g.]",Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-BO-TAI,bat_an,501.0,serving_g của chính món trong dishes.csv (501.0 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-BO-TAI,chen_an,501.0,serving_g của chính món trong dishes.csv (501.0 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-BO-TAI,doi_an,501.0,serving_g của chính món trong dishes.csv (501.0 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-BO-TAI,to_an,501.0,serving_g của chính món trong dishes.csv (501.0 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-GA,bat_an,351.2,serving_g của chính món trong dishes.csv (351.2 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-GA,chen_an,351.2,serving_g của chính món trong dishes.csv (351.2 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
NIN-PHO-GA,doi_an,351.2,serving_g của chính món trong dishes.csv (351.2 g) — khẩu phần 1 bát/tô đã được R2 duyệt cùng công thức món. Không suy ra con số mới.,Chuyên gia duyệt 2026-08-15 (R2)
