unit_code,name_vi,region,aliases,volume_ml,source_ref,verified_by
bat_an,bát,north,,,"Phương ngữ tiếng Việt — miền Bắc 'bát', miền Nam 'chén', miền Trung 'đọi' cho CÙNG một vật (VnExpress 'Miền Bắc gọi là bát, miền Nam là chén, vậy miền Trung gọi là gì?', vnexpress.net/mien-bac-goi-la-bat-mien-nam-la-chen-vay-mien-trung-goi-la-gi-4780508-p2.html; bài ghi rõ 'đọi' hiện không phổ biến, chỉ còn vài nơi dùng)",Chuyên gia duyệt 2026-08-15 (R2)
chen_an,chén,south,,,"Phương ngữ tiếng Việt — miền Bắc 'bát', miền Nam 'chén', miền Trung 'đọi' cho CÙNG một vật (VnExpress 'Miền Bắc gọi là bát, miền Nam là chén, vậy miền Trung gọi là gì?', vnexpress.net/mien-bac-goi-la-bat-mien-nam-la-chen-vay-mien-trung-goi-la-gi-4780508-p2.html; bài ghi rõ 'đọi' hiện không phổ biến, chỉ còn vài nơi dùng)",Chuyên gia duyệt 2026-08-15 (R2)
doi_an,đọi,central,,,"Phương ngữ tiếng Việt — miền Bắc 'bát', miền Nam 'chén', miền Trung 'đọi' cho CÙNG một vật (VnExpress 'Miền Bắc gọi là bát, miền Nam là chén, vậy miền Trung gọi là gì?', vnexpress.net/mien-bac-goi-la-bat-mien-nam-la-chen-vay-mien-trung-goi-la-gi-4780508-p2.html; bài ghi rõ 'đọi' hiện không phổ biến, chỉ còn vài nơi dùng)",Chuyên gia duyệt 2026-08-15 (R2)
to_an,tô,all,bát to,,"Phương ngữ tiếng Việt — miền Bắc 'bát', miền Nam 'chén', miền Trung 'đọi' cho CÙNG một vật (VnExpress 'Miền Bắc gọi là bát, miền Nam là chén, vậy miền Trung gọi là gì?', vnexpress.net/mien-bac-goi-la-bat-mien-nam-la-chen-vay-mien-trung-goi-la-gi-4780508-p2.html; bài ghi rõ 'đọi' hiện không phổ biến, chỉ còn vài nơi dùng); 'tô' dùng chung cho bát cỡ lớn",Chuyên gia duyệt 2026-08-15 (R2)
chen_200ml,chén (200 ml),all,,200.0,"Poster hội nghị Glucerna (Abbott), mục ĐỊNH LƯỢNG — R2 cung cấp ảnh chụp 2026-08-15. Đây là dung tích dụng cụ, không phụ thuộc cách gọi vùng miền",Chuyên gia duyệt 2026-08-15 (R2)
muong_canh_nho,muỗng canh nhỏ bộ dụng cụ (5 ml),all,,5.0,"Poster hội nghị Glucerna (Abbott), mục ĐỊNH LƯỢNG — R2 cung cấp ảnh chụp 2026-08-15. Đây là dung tích dụng cụ, không phụ thuộc cách gọi vùng miền ⚠️ CỐ Ý không đặt alias 'thìa canh'/'muỗng canh': đây là thìa NHỎ 5 ml của bộ dụng cụ trong poster, còn thìa canh chuẩn là 15 ml — bắt nhầm thì gram chỉ còn 1/3",Chuyên gia duyệt 2026-08-15 (R2)
muong_ca_phe,muỗng cà phê bộ dụng cụ (3 ml),all,,3.0,"Poster hội nghị Glucerna (Abbott), mục ĐỊNH LƯỢNG — R2 cung cấp ảnh chụp 2026-08-15. Đây là dung tích dụng cụ, không phụ thuộc cách gọi vùng miền ⚠️ CỐ Ý không đặt alias 'thìa cà phê': poster ghi 3 ml, còn thìa cà phê chuẩn là 5 ml · Poster in nhãn NGUYÊN VĂN là 'muỗng cà phê' cho cái thìa 3 ml — TRÙNG TÊN với thìa cà phê chuẩn 5 ml. Mơ hồ nằm ở chính nguồn. Đổi `name_vi` để phân biệt được, giữ nhãn gốc ở đây",Chuyên gia duyệt 2026-08-15 (R2)
muong_yaourt_nho,muỗng yaourt nhỏ,all,thìa sữa chua nhỏ,1.5,"Poster hội nghị Glucerna (Abbott), mục ĐỊNH LƯỢNG — R2 cung cấp ảnh chụp 2026-08-15. Đây là dung tích dụng cụ, không phụ thuộc cách gọi vùng miền",Chuyên gia duyệt 2026-08-15 (R2)
thia_canh_chuan,thìa canh (15 ml),all,muỗng canh|thìa canh|tablespoon,15.0,"Định nghĩa đo lường quốc tế (metric): thìa cà phê 5 ml, thìa canh 15 ml, cốc 250 ml. Đây là các mốc ĐỊNH NGHĨA, không phải ước lượng của một trang web. Đối chiếu bổ sung 2026-08-15 sau khi R2 gửi công cụ smart-calculators.net/vi-VN/tools/cooking-converter — công cụ đó KHÔNG dẫn nguồn ('xác minh bởi Smart Calculators Team') nên không dùng số của nó làm căn cứ, nhưng nó chỉ ra một rủi ro thật: cùng chữ 'tablespoon' có 3 cỡ (Mỹ 14,79 / metric 15 / Úc 20 ml)",Chuyên gia duyệt 2026-08-15 (R2)
thia_ca_phe_chuan,thìa cà phê (5 ml),all,muỗng cà phê|thìa cà phê|teaspoon,5.0,"Định nghĩa đo lường quốc tế (metric): thìa cà phê 5 ml, thìa canh 15 ml, cốc 250 ml. Đây là các mốc ĐỊNH NGHĨA, không phải ước lượng của một trang web. Đối chiếu bổ sung 2026-08-15 sau khi R2 gửi công cụ smart-calculators.net/vi-VN/tools/cooking-converter — công cụ đó KHÔNG dẫn nguồn ('xác minh bởi Smart Calculators Team') nên không dùng số của nó làm căn cứ, nhưng nó chỉ ra một rủi ro thật: cùng chữ 'tablespoon' có 3 cỡ (Mỹ 14,79 / metric 15 / Úc 20 ml)",Chuyên gia duyệt 2026-08-15 (R2)
coc_250ml,cốc (250 ml),all,cup|cốc,250.0,"Định nghĩa đo lường quốc tế (metric): thìa cà phê 5 ml, thìa canh 15 ml, cốc 250 ml. Đây là các mốc ĐỊNH NGHĨA, không phải ước lượng của một trang web. Đối chiếu bổ sung 2026-08-15 sau khi R2 gửi công cụ smart-calculators.net/vi-VN/tools/cooking-converter — công cụ đó KHÔNG dẫn nguồn ('xác minh bởi Smart Calculators Team') nên không dùng số của nó làm căn cứ, nhưng nó chỉ ra một rủi ro thật: cùng chữ 'tablespoon' có 3 cỡ (Mỹ 14,79 / metric 15 / Úc 20 ml)",Chuyên gia duyệt 2026-08-15 (R2)
dia_an,đĩa,all,dĩa,,"Quy ước GỌI TÊN vật đựng trong tiếng Việt, không phải một mốc đo lường. Cột volume_ml để TRỐNG có chủ ý: đĩa/phần không có dung tích chuẩn. Con số gram của từng món nằm ở dish_unit_conversions.csv và lấy NGUYÊN từ serving_g đã được R2 ký cùng công thức món — đơn vị này chỉ đặt tên cho khẩu phần đó, KHÔNG tạo ra con số mới. [R2 CHỐT 2026-08-18] 'đĩa' là vật đựng thông dụng cho món rau và món mặn.",Chuyên gia duyệt 2026-08-18 (R2)
